#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn         lr
# If there is no available reference data, rmse_*_{val,trn} will print nan
  14300      9.32e+00    1.27e+01      1.69e-01    2.45e-01      2.96e-01    4.03e-01    5.0e-04
  14400      4.41e+00    5.25e+00      2.42e-01    4.28e-01      1.39e-01    1.65e-01    5.0e-04
  14500      1.34e+01    6.18e+00      3.95e-01    2.08e-01      4.26e-01    1.96e-01    5.0e-04
  14600      3.12e+00    6.24e+00      7.02e-02    2.69e-01      9.92e-02    1.98e-01    5.0e-04
  14700      6.18e+00    5.30e+00      1.42e-01    1.65e-01      1.96e-01    1.68e-01    5.0e-04
  14800      4.85e+00    3.74e+00      3.37e-02    2.35e-01      1.54e-01    1.18e-01    5.0e-04
  14900      7.17e+00    7.00e+00      2.69e-01    2.20e-01      2.27e-01    2.22e-01    5.0e-04
  15000      9.03e+00    3.99e+00      2.30e-01    5.50e-01      2.87e-01    1.26e-01    4.9e-04
  15100      1.42e+01    7.35e+00      2.13e-01    2.75e-01      4.52e-01    2.34e-01    4.9e-04
  15200      1.00e+01    3.05e+00      6.37e-02    1.16e-01      3.19e-01    9.67e-02    4.9e-04
  15300      3.00e+00    8.99e+00      1.17e-01    3.53e-01      9.54e-02    2.86e-01    4.9e-04
  15400      3.91e+00    8.50e+00      1.29e-01    8.52e-02      1.24e-01    2.71e-01    4.9e-04
  15500      4.06e+00    4.20e+00      8.20e-03    1.46e-02      1.29e-01    1.34e-01    4.9e-04
  15600      4.29e+00    8.78e+00      1.83e-02    5.27e-01      1.37e-01    2.79e-01    4.9e-04
  15700      1.74e+01    7.49e+00      1.91e-01    3.35e-01      5.54e-01    2.38e-01    4.9e-04
  15800      7.63e+00    1.27e+01      5.99e-01    3.05e-01      2.42e-01    4.03e-01    4.9e-04
  15900      6.09e+00    4.12e+00      1.66e-01    3.04e-01      1.94e-01    1.30e-01    4.9e-04
  16000      7.50e+00    6.64e+00      6.49e-02    9.90e-02      2.39e-01    2.12e-01    4.9e-04
  16100      6.64e+00    7.11e+00      2.58e-01    3.22e-01      2.11e-01    2.26e-01    4.9e-04
  16200      5.22e+00    7.08e+00      1.38e-01    1.14e-01      1.66e-01    2.26e-01    4.9e-04
  16300      1.07e+01    2.80e+00      4.19e-02    2.12e-01      3.41e-01    8.83e-02    4.9e-04
  16400      7.93e+00    3.20e+00      3.21e-01    3.54e-01      2.52e-01    9.77e-02    4.9e-04
  16500      3.17e+00    5.41e+00      7.49e-01    2.41e-01      9.57e-02    1.72e-01    4.9e-04
  16600      7.57e+00    7.07e+00      5.32e-02    3.09e-01      2.41e-01    2.25e-01    4.9e-04
  16700      1.06e+01    4.52e+00      7.50e-03    4.07e-02      3.38e-01    1.44e-01    4.9e-04
  16800      6.78e+00    9.90e+00      5.74e-02    3.31e-01      2.16e-01    3.15e-01    4.9e-04
  16900      6.19e+00    9.91e+00      7.78e-02    2.89e-01      1.97e-01    3.15e-01    4.9e-04
  17000      6.38e+00    4.01e+00      3.01e-01    1.89e-01      2.03e-01    1.27e-01    4.9e-04
  17100      4.53e+00    7.56e+00      4.88e-02    2.64e-01      1.44e-01    2.41e-01    4.9e-04
  17200      7.91e+00    5.69e+00      4.70e-01    1.44e-01      2.51e-01    1.81e-01    4.9e-04
  17300      5.58e+00    4.51e+00      1.66e-02    9.11e-02      1.78e-01    1.43e-01    4.9e-04
  17400      1.63e+01    5.84e+00      2.72e-01    3.88e-01      5.20e-01    1.85e-01    4.9e-04
  17500      2.77e+00    6.94e+00      1.69e-01    6.34e-01      8.80e-02    2.20e-01    4.9e-04
  17600      1.10e+01    4.77e+00      2.72e-01    5.86e-01      3.50e-01    1.48e-01    4.9e-04
  17700      6.83e+00    4.94e+00      2.40e-01    1.74e-01      2.17e-01    1.57e-01    4.9e-04
  17800      1.07e+01    5.35e+00      4.16e-02    1.25e-01      3.39e-01    1.70e-01    4.9e-04
  17900      1.86e+01    3.57e+00      2.97e-01    4.74e-01      5.94e-01    1.10e-01    4.9e-04
  18000      8.88e+00    6.10e+00      2.74e-01    1.10e-01      2.82e-01    1.94e-01    4.9e-04
  18100      6.37e+00    7.71e+00      3.74e-01    6.23e-01      2.02e-01    2.43e-01    4.9e-04
  18200      7.34e+00    5.07e+00      2.46e-01    5.54e-01      2.33e-01    1.58e-01    4.9e-04
  18300      4.83e+00    4.86e+00      3.32e-02    9.57e-02      1.54e-01    1.55e-01    4.9e-04
  18400      2.86e+00    1.20e+01      2.64e-01    6.93e-01      9.04e-02    3.80e-01    4.9e-04
  18500      4.44e+00    4.72e+00      1.19e-01    6.25e-01      1.41e-01    1.48e-01    4.9e-04
  18600      9.90e+00    5.77e+00      4.57e-03    4.65e-01      3.15e-01    1.83e-01    4.9e-04
  18700      3.73e+00    6.53e+00      8.20e-02    3.61e-02      1.19e-01    2.08e-01    4.9e-04
  18800      4.21e+00    8.75e+00      9.76e-02    3.02e-01      1.34e-01    2.78e-01    4.9e-04
  18900      1.28e+01    4.11e+00      7.52e-01    2.88e-01      4.03e-01    1.29e-01    4.9e-04
  19000      4.89e+00    4.81e+00      2.54e-02    6.42e-02      1.56e-01    1.53e-01    4.9e-04
  19100      4.58e+00    1.03e+01      1.63e-01    2.98e-01      1.46e-01    3.27e-01    4.9e-04
  19200      5.06e+00    5.97e+00      4.86e-03    7.73e-02      1.61e-01    1.90e-01    4.9e-04
  19300      7.34e+00    6.91e+00      3.70e-02    1.10e-01      2.34e-01    2.20e-01    4.9e-04
  19400      7.24e+00    5.39e+00      5.73e-02    9.74e-02      2.31e-01    1.72e-01    4.9e-04
